review_id,business_id
KU_O5udG6zpxOg-VcAEodg,XQfwVwDr-v0ZS3_CbbE5Xw
saUsX_uimxRlCVr67Z4Jig,YjUWPpI6HXG530lwP-fb2A
AqPFMleE6RsU23_auESxiA,kxX2SOes4o-D3ZQBkiMRfA
Sx8TMOWLNuJBWer-0pcmoA,e4Vwtrqf-wpJfwesgvdgxQ
JrIxlS1TzJ-iCu79ul40cQ,04UD14gamNjLY0IDYVhHJg
_ZeMknuYdlQcUqng_Im3yg,LHSTtnW3YHCeUkRDGyJOyw
pUycOfUwM8vqX7KjRRhUEA,gebiRewfieSdtt17PTW6Zg
l3Wk_mvAog6XANIuGQ9C7Q,EQ-TZ2eeD_E0BHuvoaeG5Q
XW_LfMv0fV21l9c6xQd_lw,lj-E32x9_FA7GmUrBGBEWg
8JFGBuHMoiNDyfcxuWNtrA,RZtGWDLCAtuipwaZ-UfjmQ
UBp0zWyH60Hmw6Fsasei7w,otQS34_MymijPTdNBoBdCw
OAhBYw8IQ6wlfw1owXWRWw,BVndHaLihEYbr76Z0CMEGw
oyaMhzBSwfGgemSGuZCdwQ,YtSqYv1Q_pOltsVPSx54SA
LnGZB0fjfgeVDVz5IHuEVA,rBdG_23USc7DletfZ11xGA
Xs8Z8lmKkosqW5mw_sVAoA,eFvzHawVJofxSnD7TgbZtg
ZVvhc3Go7v5I8XTiVoWmqQ,ut6fi2W2YaipNOqvi7e0jw
eCiWBf1CJ0Zdv1uVarEhhw,vC2qm1y3Au5czBtbhc-DNw
lUUhg8ltDsUZ9h0xnwY4Dg,cPepkJeRMtHapc_b2Oe_dw
qS6kE7CDoDagyPZwmueJaQ,c-IgS6Pk6vMyax7Rbr38eA
G_5UczbCBJriUAbxz3J7Tw,x4XdNhp0Xn8lOivzc77J-g
z0osLHDvXvzfm57D4DmD2Q,S2Ho8yLxhKAa26pBAm6rxA
DyrAIuKl60j_X8Yrrv-kpg,MWmXGQ98KbRo3vsS5nZhMA
elqRpX9T3YwL07uLNtN3Bg,ltBBYdNzkeKdCNPDAsxwAA
-P5E9BYUaK7s3PwBF5oAyg,bMratNjTG5ZFEA6hVyr-xQ
YbMyvlDA2W3Py5lTz8VK-A,bbEXAEFr4RYHLlZ-HFssTA
40thYphUgIfvJq17QCfTwA,0pMj5xUAecW9o1P35B0AMw
L0jv8c2FbpWSlfNC6bbUEA,IDtLPgUrqorrpqSLdfMhZQ
JBWZmBy69VMggxj3eYn17Q,kq5Ghhh14r-eCxlVmlyd8w
E9AB7V4z8xrt2uPF7T55FQ,Zx7n8mdt8OzLRXVzolXNhQ
mO398Ed5dpv1H5ZsKc8KXw,hKameFsaXh9g8WQbv593UA
RB8UpF_kT2xoOC51OzXEeA,A2q7d-CBM2-81tVkmS4JMw
YcLXh-3UC9y6YFAI9xxzPQ,oBhJuukGRqPVvYBfTkhuZA
qGQvUHmC02PAZW3H1WTIfw,eaJCpC6IhYphj7bwCDHTwQ
jC-fGfx-YLqxVBcyTAd4Pw,W4ZEKkva9HpAdZG88juwyQ
TcCcHzc3L6Aboq3DteEfZA,jNL5KUPz2-tHUJM__ysSaw
A4n4YaE-owOVgTQcrVqHUw,I6L0Zxi5Ww0zEWSAVgngeQ
cvQXRFLCyr0S7EgFb4lZqw,EtKSTHV5Qx_Q7Aur9o4kQQ
yCbzm_d4cHpfUX00Ljvgmg,SSZDGl2J-CEyIzuIbEiYNQ
r2IBPY_E8AE5_GpsqlONyg,VJEzpfLs_Jnzgqh5A_FVTg
EoN2xyKvTTn9B-z1grhYxw,oJ4ik-4PZe6gexxW-tSmsw
mCVyppNwK2qPOJHXgs0p2Q,NQSnr4RPUScss607oxOaqw
dzNxNW9XpJiECE-bKATezw,6LCZLGa09Qifn6rG7-DNrg
nAE4IGJMRxDfas0qYabMWw,7wQEzj-0yOpLiANNLuUflQ
DWbmJF84jRrGaJRmlSSnYQ,SIoCIxjn4jLt2O-4DajWJw
4zopEEPqfwm-c_FNpeHZYw,SZU9c8V2GuREDN5KgyHFJw
67cGcRrS0jTvB8p7rpaPew,oQ5CPRt0R3AzFvcjNOqB1w
Ti6y48ya3syOndm7teSjcg,O8BBn8lry8lLoIFmChceGg
4KpIldEM-tdnrJLqYzRfZQ,HTqXI5S2XcSlh_ylx9sE6g
Ad91EzbAGRCR1SwkPfZJKg,WCVFqK84i2H5EClSoow7ZA
fGYcFOHfQL4stYPdD3J47g,PzhPMkaNYiKDTHoTG0r8rw
